is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,cores,ram,level,encrypt,wind_size_unl,threshold,compression
True,0,10,,,,10,2,18,7,0,1,0,0
True,0,10,,,,22,3,2,3,0,1,0,0
True,0,10,,,,37,1,2,5,0,1,1,0
True,0,10,,,,48,1,2,1,0,1,1,0
True,0,10,,,,68,2,6,6,0,1,0,0
True,0,10,,,,88,1,2,6,0,1,1,0
True,0,10,,,,104,4,2,5,1,0,1,0
True,0,10,,,,118,4,2,9,0,1,0,1
True,0,10,,,,173,3,2,1,0,1,1,0
True,0,10,,,,193,1,6,6,1,0,1,0
True,1,10,,,,38,1,2,7,1,1,1,1
True,1,10,,,,72,4,2,5,1,1,0,0
True,1,10,,,,73,1,18,1,0,0,0,1
True,1,10,,,,80,3,18,4,1,1,1,0
True,1,10,,,,130,4,18,7,0,0,1,2
True,1,10,,,,134,3,2,4,1,1,1,2
True,1,10,,,,138,2,18,3,0,0,0,1
True,1,10,,,,141,3,6,7,0,1,0,0
True,1,10,,,,145,1,18,9,0,1,0,1
True,1,10,,,,193,1,6,6,1,0,1,0
True,2,10,,,,8,3,6,9,1,0,0,0
True,2,10,,,,16,1,6,2,0,1,1,0
True,2,10,,,,23,1,6,6,0,0,1,0
True,2,10,,,,44,2,6,5,0,1,1,0
True,2,10,,,,73,1,18,1,0,0,0,1
True,2,10,,,,76,4,6,3,1,0,1,0
True,2,10,,,,105,1,18,4,0,1,0,0
True,2,10,,,,163,2,18,7,0,1,1,0
True,2,10,,,,169,4,6,6,1,0,1,0
True,2,10,,,,178,1,6,9,1,0,0,1
True,3,10,,,,1,2,6,7,1,1,1,0
True,3,10,,,,22,3,2,3,0,1,0,0
True,3,10,,,,107,1,6,1,1,1,0,0
True,3,10,,,,108,3,6,1,0,1,1,0
True,3,10,,,,132,2,6,8,0,0,1,2
True,3,10,,,,139,1,18,9,1,0,0,0
True,3,10,,,,148,1,6,1,1,0,1,0
True,3,10,,,,153,1,6,7,0,0,1,2
True,3,10,,,,170,3,6,1,0,1,0,0
True,3,10,,,,185,2,18,8,1,0,0,0
True,4,10,,,,51,1,6,6,1,0,1,0
True,4,10,,,,59,1,2,3,1,0,1,0
True,4,10,,,,88,1,2,6,0,1,1,0
True,4,10,,,,104,4,2,5,1,0,1,0
True,4,10,,,,105,1,18,4,0,1,0,0
True,4,10,,,,123,2,2,5,1,0,1,0
True,4,10,,,,130,4,18,7,0,0,1,2
True,4,10,,,,138,2,18,3,0,0,0,1
True,4,10,,,,175,1,2,3,0,1,1,0
True,4,10,,,,184,3,6,6,1,1,1,0
True,4,15,,,,60,4,6,1,1,0,0,1
True,4,15,,,,76,4,6,3,1,0,1,0
True,4,15,,,,106,1,18,2,1,0,0,0
True,4,15,,,,144,1,18,2,1,0,1,0
True,4,15,,,,151,1,18,2,1,1,1,1
True,5,10,,,,9,1,18,1,0,0,1,0
True,5,10,,,,74,3,18,4,1,0,1,0
True,5,10,,,,100,1,18,5,0,0,1,2
True,5,10,,,,113,4,2,9,0,1,0,0
True,5,10,,,,119,3,18,7,0,1,0,2
True,5,10,,,,145,1,18,9,0,1,0,1
True,5,10,,,,156,1,2,5,1,1,1,0
True,5,10,,,,159,1,18,9,0,1,0,0
True,5,10,,,,190,1,6,4,1,1,1,2
True,5,10,,,,191,3,2,8,0,1,0,1
True,6,10,,,,2,1,2,4,0,1,0,1
True,6,10,,,,26,1,18,9,0,1,1,2
True,6,10,,,,63,2,18,7,0,1,1,2
True,6,10,,,,76,4,6,3,1,0,1,0
True,6,10,,,,80,3,18,4,1,1,1,0
True,6,10,,,,81,4,18,6,0,0,0,0
True,6,10,,,,107,1,6,1,1,1,0,0
